Split,Mask,NonLandslide_Pixels,Landslide_Pixels,Total_Pixels,Positive_Ratio_%
TrainData,mask_1.h5,15979,405,16384,2.471923828125
TrainData,mask_10.h5,16384,0,16384,0.0
TrainData,mask_100.h5,15905,479,16384,2.923583984375
TrainData,mask_1000.h5,16349,35,16384,0.213623046875
TrainData,mask_1001.h5,14405,1979,16384,12.078857421875
TrainData,mask_1002.h5,15574,810,16384,4.94384765625
TrainData,mask_1003.h5,15668,716,16384,4.3701171875
TrainData,mask_1004.h5,15082,1302,16384,7.94677734375
TrainData,mask_1005.h5,15778,606,16384,3.69873046875
TrainData,mask_1006.h5,15609,775,16384,4.730224609375
TrainData,mask_1007.h5,14847,1537,16384,9.381103515625
TrainData,mask_1008.h5,14777,1607,16384,9.808349609375
TrainData,mask_1009.h5,14927,1457,16384,8.892822265625
TrainData,mask_101.h5,16030,354,16384,2.16064453125
TrainData,mask_1010.h5,15866,518,16384,3.16162109375
TrainData,mask_1011.h5,15672,712,16384,4.345703125
TrainData,mask_1012.h5,16277,107,16384,0.653076171875
TrainData,mask_1013.h5,16035,349,16384,2.130126953125
TrainData,mask_1014.h5,16301,83,16384,0.506591796875
TrainData,mask_1015.h5,15919,465,16384,2.838134765625
TrainData,mask_1016.h5,15543,841,16384,5.133056640625
TrainData,mask_1017.h5,16301,83,16384,0.506591796875
TrainData,mask_1018.h5,16303,81,16384,0.494384765625
TrainData,mask_1019.h5,16384,0,16384,0.0
TrainData,mask_102.h5,16073,311,16384,1.898193359375
TrainData,mask_1020.h5,16294,90,16384,0.54931640625
TrainData,mask_1021.h5,16384,0,16384,0.0
TrainData,mask_1022.h5,16357,27,16384,0.164794921875
TrainData,mask_1023.h5,16384,0,16384,0.0
TrainData,mask_1024.h5,16384,0,16384,0.0
TrainData,mask_1025.h5,16384,0,16384,0.0
TrainData,mask_1026.h5,15405,979,16384,5.975341796875
TrainData,mask_1027.h5,15889,495,16384,3.021240234375
TrainData,mask_1028.h5,14845,1539,16384,9.393310546875
TrainData,mask_1029.h5,16093,291,16384,1.776123046875
TrainData,mask_103.h5,15660,724,16384,4.4189453125
TrainData,mask_1030.h5,16384,0,16384,0.0
TrainData,mask_1031.h5,16235,149,16384,0.909423828125
TrainData,mask_1032.h5,16171,213,16384,1.300048828125
TrainData,mask_1033.h5,16269,115,16384,0.701904296875
TrainData,mask_1034.h5,15651,733,16384,4.473876953125
TrainData,mask_1035.h5,16089,295,16384,1.800537109375
TrainData,mask_1036.h5,16265,119,16384,0.726318359375
TrainData,mask_1037.h5,16370,14,16384,0.08544921875
TrainData,mask_1038.h5,16316,68,16384,0.4150390625
TrainData,mask_1039.h5,16254,130,16384,0.79345703125
TrainData,mask_104.h5,15719,665,16384,4.058837890625
TrainData,mask_1040.h5,16384,0,16384,0.0
TrainData,mask_1041.h5,16384,0,16384,0.0
TrainData,mask_1042.h5,16384,0,16384,0.0
TrainData,mask_1043.h5,14280,2104,16384,12.841796875
TrainData,mask_1044.h5,15470,914,16384,5.57861328125
TrainData,mask_1045.h5,15086,1298,16384,7.92236328125
TrainData,mask_1046.h5,16099,285,16384,1.739501953125
TrainData,mask_1047.h5,15811,573,16384,3.497314453125
TrainData,mask_1048.h5,16341,43,16384,0.262451171875
TrainData,mask_1049.h5,15281,1103,16384,6.732177734375
TrainData,mask_105.h5,15466,918,16384,5.60302734375
TrainData,mask_1050.h5,16094,290,16384,1.77001953125
TrainData,mask_1051.h5,16110,274,16384,1.67236328125
TrainData,mask_1052.h5,16199,185,16384,1.129150390625
TrainData,mask_1053.h5,16004,380,16384,2.3193359375
TrainData,mask_1054.h5,16134,250,16384,1.52587890625
TrainData,mask_1055.h5,16199,185,16384,1.129150390625
TrainData,mask_1056.h5,16189,195,16384,1.190185546875
TrainData,mask_1057.h5,16384,0,16384,0.0
TrainData,mask_1058.h5,16384,0,16384,0.0
TrainData,mask_1059.h5,15378,1006,16384,6.14013671875
TrainData,mask_106.h5,16015,369,16384,2.252197265625
TrainData,mask_1060.h5,16299,85,16384,0.518798828125
TrainData,mask_1061.h5,15916,468,16384,2.8564453125
TrainData,mask_1062.h5,16371,13,16384,0.079345703125
TrainData,mask_1063.h5,16269,115,16384,0.701904296875
TrainData,mask_1064.h5,16328,56,16384,0.341796875
TrainData,mask_1065.h5,16344,40,16384,0.244140625
TrainData,mask_1066.h5,16384,0,16384,0.0
TrainData,mask_1067.h5,16078,306,16384,1.86767578125
TrainData,mask_1068.h5,16179,205,16384,1.251220703125
TrainData,mask_1069.h5,15877,507,16384,3.094482421875
TrainData,mask_107.h5,16384,0,16384,0.0
TrainData,mask_1070.h5,15538,846,16384,5.16357421875
TrainData,mask_1071.h5,16015,369,16384,2.252197265625
TrainData,mask_1072.h5,15563,821,16384,5.010986328125
TrainData,mask_1073.h5,15548,836,16384,5.1025390625
TrainData,mask_1074.h5,16016,368,16384,2.24609375
TrainData,mask_1075.h5,16327,57,16384,0.347900390625
TrainData,mask_1076.h5,16262,122,16384,0.74462890625
TrainData,mask_1077.h5,16352,32,16384,0.1953125
TrainData,mask_1078.h5,16384,0,16384,0.0
TrainData,mask_1079.h5,16347,37,16384,0.225830078125
TrainData,mask_108.h5,16036,348,16384,2.1240234375
TrainData,mask_1080.h5,16310,74,16384,0.45166015625
TrainData,mask_1081.h5,16175,209,16384,1.275634765625
TrainData,mask_1082.h5,15755,629,16384,3.839111328125
TrainData,mask_1083.h5,16384,0,16384,0.0
TrainData,mask_1084.h5,16091,293,16384,1.788330078125
TrainData,mask_1085.h5,16060,324,16384,1.9775390625
TrainData,mask_1086.h5,16062,322,16384,1.96533203125
TrainData,mask_1087.h5,15223,1161,16384,7.086181640625
TrainData,mask_1088.h5,15011,1373,16384,8.380126953125
TrainData,mask_1089.h5,15404,980,16384,5.9814453125
TrainData,mask_109.h5,16384,0,16384,0.0
TrainData,mask_1090.h5,15707,677,16384,4.132080078125
TrainData,mask_1091.h5,16238,146,16384,0.89111328125
TrainData,mask_1092.h5,16290,94,16384,0.57373046875
TrainData,mask_1093.h5,16384,0,16384,0.0
TrainData,mask_1094.h5,14061,2323,16384,14.178466796875
TrainData,mask_1095.h5,14744,1640,16384,10.009765625
TrainData,mask_1096.h5,16376,8,16384,0.048828125
TrainData,mask_1097.h5,16384,0,16384,0.0
TrainData,mask_1098.h5,16384,0,16384,0.0
TrainData,mask_1099.h5,16384,0,16384,0.0
TrainData,mask_11.h5,16384,0,16384,0.0
TrainData,mask_110.h5,16384,0,16384,0.0
TrainData,mask_1100.h5,16384,0,16384,0.0
TrainData,mask_1101.h5,16384,0,16384,0.0
TrainData,mask_1102.h5,15936,448,16384,2.734375
TrainData,mask_1103.h5,16384,0,16384,0.0
TrainData,mask_1104.h5,16384,0,16384,0.0
TrainData,mask_1105.h5,16356,28,16384,0.1708984375
TrainData,mask_1106.h5,16384,0,16384,0.0
TrainData,mask_1107.h5,16384,0,16384,0.0
TrainData,mask_1108.h5,16304,80,16384,0.48828125
TrainData,mask_1109.h5,16384,0,16384,0.0
TrainData,mask_111.h5,16321,63,16384,0.384521484375
TrainData,mask_1110.h5,16196,188,16384,1.1474609375
TrainData,mask_1111.h5,16247,137,16384,0.836181640625
TrainData,mask_1112.h5,14873,1511,16384,9.222412109375
TrainData,mask_1113.h5,15756,628,16384,3.8330078125
TrainData,mask_1114.h5,15961,423,16384,2.581787109375
TrainData,mask_1115.h5,16058,326,16384,1.98974609375
TrainData,mask_1116.h5,15248,1136,16384,6.93359375
TrainData,mask_1117.h5,15794,590,16384,3.60107421875
TrainData,mask_1118.h5,16384,0,16384,0.0
TrainData,mask_1119.h5,15557,827,16384,5.047607421875
TrainData,mask_112.h5,15459,925,16384,5.645751953125
TrainData,mask_1120.h5,16128,256,16384,1.5625
TrainData,mask_1121.h5,15821,563,16384,3.436279296875
TrainData,mask_1122.h5,16298,86,16384,0.52490234375
TrainData,mask_1123.h5,15490,894,16384,5.45654296875
TrainData,mask_1124.h5,15447,937,16384,5.718994140625
TrainData,mask_1125.h5,16338,46,16384,0.28076171875
TrainData,mask_1126.h5,16121,263,16384,1.605224609375
TrainData,mask_1127.h5,14387,1997,16384,12.188720703125
TrainData,mask_1128.h5,16292,92,16384,0.5615234375
TrainData,mask_1129.h5,16247,137,16384,0.836181640625
TrainData,mask_113.h5,15937,447,16384,2.728271484375
TrainData,mask_1130.h5,15912,472,16384,2.880859375
TrainData,mask_1131.h5,15547,837,16384,5.108642578125
TrainData,mask_1132.h5,16339,45,16384,0.274658203125
TrainData,mask_1133.h5,15717,667,16384,4.071044921875
TrainData,mask_1134.h5,16384,0,16384,0.0
TrainData,mask_1135.h5,16384,0,16384,0.0
TrainData,mask_1136.h5,16379,5,16384,0.030517578125
TrainData,mask_1137.h5,16364,20,16384,0.1220703125
TrainData,mask_1138.h5,16384,0,16384,0.0
TrainData,mask_1139.h5,16384,0,16384,0.0
TrainData,mask_114.h5,16374,10,16384,0.06103515625
TrainData,mask_1140.h5,16291,93,16384,0.567626953125
