TP,FP,FN,TN,IoU,Precision,Recall,F1,Positive_Ratio_%,Area_Group,Sample
0,0,33,16351,0.0,0.0,0.0,0.0,0.201416015625,0-1%,image_1.h5
0,0,13,16371,0.0,0.0,0.0,0.0,0.079345703125,0-1%,image_10.h5
0,353,0,16031,0.0,0.0,0.0,0.0,0.0,0-1%,image_100.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_101.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_102.h5
0,4,0,16380,0.0,0.0,0.0,0.0,0.0,0-1%,image_103.h5
0,0,46,16338,0.0,0.0,0.0,0.0,0.28076171875,0-1%,image_104.h5
302,569,57,15456,0.3254310344827586,0.3467278989667049,0.841225626740947,0.49105691056910566,2.191162109375,1-3%,image_105.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_106.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_107.h5
0,0,55,16329,0.0,0.0,0.0,0.0,0.335693359375,0-1%,image_108.h5
33,0,126,16225,0.20754716981132076,1.0,0.20754716981132076,0.34375,0.970458984375,0-1%,image_109.h5
111,22,515,15736,0.1712962962962963,0.8345864661654135,0.17731629392971246,0.2924901185770751,3.82080078125,3-5%,image_11.h5
0,61,0,16323,0.0,0.0,0.0,0.0,0.0,0-1%,image_110.h5
0,0,52,16332,0.0,0.0,0.0,0.0,0.3173828125,0-1%,image_111.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_112.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_113.h5
5,0,70,16309,0.06666666666666667,1.0,0.06666666666666667,0.125,0.457763671875,0-1%,image_114.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_115.h5
156,47,403,15778,0.25742574257425743,0.7684729064039408,0.27906976744186046,0.4094488188976378,3.411865234375,3-5%,image_116.h5
0,0,290,16094,0.0,0.0,0.0,0.0,1.77001953125,1-3%,image_117.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_118.h5
0,0,41,16343,0.0,0.0,0.0,0.0,0.250244140625,0-1%,image_119.h5
0,0,63,16321,0.0,0.0,0.0,0.0,0.384521484375,0-1%,image_12.h5
0,163,7,16214,0.0,0.0,0.0,0.0,0.042724609375,0-1%,image_120.h5
136,50,158,16040,0.3953488372093023,0.7311827956989247,0.46258503401360546,0.5666666666666667,1.79443359375,1-3%,image_121.h5
0,0,339,16045,0.0,0.0,0.0,0.0,2.069091796875,1-3%,image_122.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_123.h5
0,36,0,16348,0.0,0.0,0.0,0.0,0.0,0-1%,image_124.h5
72,513,26,15773,0.11783960720130933,0.12307692307692308,0.7346938775510204,0.2108345534407028,0.59814453125,0-1%,image_125.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_126.h5
0,0,88,16296,0.0,0.0,0.0,0.0,0.537109375,0-1%,image_127.h5
