epoch,train_loss,val_loss,lr,miou,oa,non_iou,landslide_iou,landslide_f1,precision,recall,tn,fp,fn,tp,best_landslide_iou
1,1.372574,1.011294,2.998012825394132e-05,0.606367,0.976725,0.976556,0.236177,0.382109,0.350336,0.42022,3891765.0,53570.0,39857.0,28888.0,0.23617708375914648
2,1.036108,0.96817,2.992056748283996e-05,0.622188,0.969328,0.968966,0.275409,0.431876,0.31626,0.680733,3844162.0,101173.0,21948.0,46797.0,0.2754093150813922
3,0.938157,0.940291,2.9821480938629495e-05,0.663937,0.984548,0.984422,0.343453,0.511298,0.557748,0.471991,3919607.0,25728.0,36298.0,32447.0,0.3434526266764049
4,0.863339,0.87061,2.968314021064018e-05,0.671244,0.980055,0.979826,0.362661,0.532283,0.444766,0.662681,3888464.0,56871.0,23189.0,45556.0,0.3626608075404407
5,0.805224,0.815817,2.9505924481191486e-05,0.692944,0.984113,0.983942,0.401945,0.573411,0.530808,0.623449,3907451.0,37884.0,25886.0,42859.0,0.40194506184996576
6,0.759186,0.795427,2.9290319486279726e-05,0.701329,0.983771,0.983579,0.41908,0.590636,0.519913,0.683628,3901939.0,43396.0,21749.0,46996.0,0.41907955163588695
7,0.719623,0.776961,2.9036916184209422e-05,0.708915,0.986663,0.986526,0.431304,0.602673,0.615216,0.590632,3919940.0,25395.0,28142.0,40603.0,0.43130444019545355
8,0.686257,0.774711,2.874640913581771e-05,0.697979,0.987971,0.98787,0.408088,0.579634,0.721772,0.484268,3932502.0,12833.0,35454.0,33291.0,0.43130444019545355
9,0.655632,0.736957,2.841959460073133e-05,0.710277,0.986516,0.986375,0.434179,0.605474,0.606779,0.604175,3918419.0,26916.0,27211.0,41534.0,0.43417902802605035
10,0.636097,0.721809,2.805736835487436e-05,0.722698,0.988535,0.988423,0.456973,0.627291,0.707593,0.563357,3929331.0,16004.0,30017.0,38728.0,0.4569729436335532
11,0.611979,0.688237,2.7660723235208646e-05,0.727208,0.987693,0.987559,0.466858,0.636542,0.64397,0.629282,3921418.0,23917.0,25485.0,43260.0,0.4668580432108092
12,0.59915,0.685897,2.7230746418436735e-05,0.721912,0.988477,0.988364,0.455459,0.625863,0.704859,0.56279,3929135.0,16200.0,30056.0,38689.0,0.4668580432108092
13,0.591068,0.673138,2.6768616441126075e-05,0.726112,0.987813,0.987683,0.464542,0.634385,0.652366,0.617369,3922719.0,22616.0,26304.0,42441.0,0.4668580432108092
14,0.576629,0.654542,2.6275599969422212e-05,0.72719,0.987852,0.987721,0.466658,0.636356,0.65287,0.620656,3922649.0,22686.0,26078.0,42667.0,0.4668580432108092
15,0.567835,0.649239,2.5753048327204935e-05,0.735356,0.989435,0.989331,0.48138,0.649908,0.751384,0.57258,3932311.0,13024.0,29383.0,39362.0,0.48138047426286246
16,0.559836,0.641756,2.520239379220344e-05,0.730332,0.987135,0.986985,0.473679,0.642852,0.612763,0.676049,3915965.0,29370.0,22270.0,46475.0,0.48138047426286246
17,0.561046,0.64434,2.4625145670222638e-05,0.727718,0.988035,0.987908,0.467528,0.637164,0.662795,0.613441,3923880.0,21455.0,26574.0,42171.0,0.48138047426286246
18,0.549512,0.660181,2.4022886158240854e-05,0.721064,0.988028,0.987907,0.45422,0.624692,0.674429,0.581788,3926028.0,19307.0,28750.0,39995.0,0.48138047426286246
19,0.55257,0.704728,2.3397266007717887e-05,0.697743,0.988644,0.988555,0.406932,0.578467,0.793938,0.454986,3937217.0,8118.0,37467.0,31278.0,0.48138047426286246
20,0.54748,0.683321,2.2749999999999994e-05,0.710106,0.988864,0.988769,0.431442,0.602808,0.774518,0.493418,3935460.0,9875.0,34825.0,33920.0,0.48138047426286246
21,0.542846,0.667382,2.2082862246223422e-05,0.717173,0.988822,0.98872,0.445626,0.616517,0.747327,0.524678,3933140.0,12195.0,32676.0,36069.0,0.48138047426286246
22,0.538987,0.648778,2.13976813245991e-05,0.725394,0.987804,0.987674,0.463113,0.633052,0.653002,0.614285,3922895.0,22440.0,26516.0,42229.0,0.48138047426286246
23,0.538117,0.643505,2.0696335268406854e-05,0.7299,0.988724,0.988609,0.47119,0.640556,0.705334,0.586675,3928486.0,16849.0,28414.0,40331.0,0.48138047426286246
24,0.53683,0.685561,1.9980746418436735e-05,0.706697,0.988762,0.988668,0.424725,0.596221,0.775016,0.484457,3935667.0,9668.0,35441.0,33304.0,0.48138047426286246
25,0.536692,0.692594,1.925287615398655e-05,0.700158,0.988293,0.988196,0.412119,0.583689,0.746403,0.47922,3934142.0,11193.0,35801.0,32944.0,0.48138047426286246
26,0.533632,0.754427,1.8514719516857505e-05,0.656897,0.986557,0.986469,0.327325,0.49321,0.695937,0.381948,3933863.0,11472.0,42488.0,26257.0,0.48138047426286246
27,0.530145,0.659606,1.7768299743083344e-05,0.717682,0.988261,0.988149,0.447216,0.618036,0.697949,0.554542,3928837.0,16498.0,30623.0,38122.0,0.48138047426286246
28,0.52945,0.649181,1.701566271738097e-05,0.722762,0.988135,0.988015,0.457508,0.627795,0.678319,0.584275,3926287.0,19048.0,28579.0,40166.0,0.48138047426286246
29,0.527665,0.642929,1.625887136552268e-05,0.726805,0.988454,0.988336,0.465273,0.635067,0.692219,0.586632,3927404.0,17931.0,28417.0,40328.0,0.48138047426286246
30,0.527436,0.677541,1.55e-05,0.705772,0.988226,0.988124,0.423419,0.594933,0.724143,0.504851,3932114.0,13221.0,34039.0,34706.0,0.48138047426286246
31,0.522464,0.677623,1.4741128634477315e-05,0.705732,0.988113,0.988008,0.423455,0.594968,0.714306,0.509797,3931318.0,14017.0,33699.0,35046.0,0.48138047426286246
