epoch,train_loss,val_loss,lr,miou,oa,non_iou,landslide_iou,landslide_f1,precision,recall,tn,fp,fn,tp,best_landslide_iou
1,1.318299,1.050145,2.998012825394132e-05,0.589621,0.968535,0.968268,0.210975,0.348438,0.269954,0.491265,3854004.0,91331.0,34973.0,33772.0,0.21097478697618632
2,0.950559,0.904198,2.992056748283996e-05,0.629326,0.978082,0.977893,0.280759,0.438426,0.390616,0.499571,3891758.0,53577.0,34402.0,34343.0,0.280758980396004
3,0.858722,0.864023,2.9821480938629495e-05,0.664089,0.980611,0.980408,0.34777,0.516067,0.45067,0.603666,3894751.0,50584.0,27246.0,41499.0,0.34776961174567794
4,0.808234,0.878259,2.968314021064018e-05,0.636212,0.98444,0.984341,0.288083,0.447306,0.570993,0.367663,3926345.0,18990.0,43470.0,25275.0,0.34776961174567794
5,0.776355,0.794219,2.9505924481191486e-05,0.69241,0.984007,0.983834,0.400987,0.572435,0.527929,0.625136,3906907.0,38428.0,25770.0,42975.0,0.40098718893751223
6,0.727729,0.759038,2.9290319486279726e-05,0.70869,0.987588,0.987471,0.42991,0.601311,0.668279,0.546542,3926685.0,18650.0,31173.0,37572.0,0.42991017792779906
7,0.694945,0.825318,2.9036916184209422e-05,0.652121,0.986164,0.986074,0.318167,0.482742,0.670964,0.376987,3932626.0,12709.0,42829.0,25916.0,0.42991017792779906
8,0.678111,0.726547,2.874640913581771e-05,0.679923,0.981971,0.981772,0.378073,0.548699,0.480226,0.639945,3897719.0,47616.0,24752.0,43993.0,0.42991017792779906
9,0.660281,0.774651,2.841959460073133e-05,0.673205,0.987157,0.987064,0.359347,0.528705,0.711488,0.420642,3933609.0,11726.0,39828.0,28917.0,0.42991017792779906
10,0.634862,0.796092,2.805736835487436e-05,0.643201,0.984544,0.98444,0.301961,0.463856,0.571362,0.390399,3925201.0,20134.0,41907.0,26838.0,0.42991017792779906
11,0.625296,0.705464,2.7660723235208646e-05,0.689393,0.98346,0.98328,0.395506,0.566828,0.513925,0.631871,3904251.0,41084.0,25307.0,43438.0,0.42991017792779906
12,0.613381,0.747296,2.7230746418436735e-05,0.674723,0.986656,0.986554,0.362891,0.532532,0.665612,0.4438,3930008.0,15327.0,38236.0,30509.0,0.42991017792779906
13,0.599249,0.704625,2.6768616441126075e-05,0.696171,0.987438,0.98733,0.405013,0.576525,0.68202,0.499294,3929332.0,16003.0,34421.0,34324.0,0.42991017792779906
14,0.588136,0.817655,2.6275599969422212e-05,0.628353,0.985762,0.985686,0.27102,0.426461,0.687571,0.309084,3935680.0,9655.0,47497.0,21248.0,0.42991017792779906
15,0.582423,0.801699,2.5753048327204935e-05,0.63419,0.985298,0.985212,0.283167,0.441356,0.631881,0.339108,3931754.0,13581.0,45433.0,23312.0,0.42991017792779906
16,0.575355,0.852138,2.520239379220344e-05,0.612067,0.985583,0.985518,0.238616,0.385294,0.714128,0.263816,3938075.0,7260.0,50609.0,18136.0,0.42991017792779906
17,0.568814,0.781299,2.4625145670222638e-05,0.645099,0.985326,0.985231,0.304967,0.467394,0.617607,0.375955,3929333.0,16002.0,42900.0,25845.0,0.42991017792779906
18,0.564835,0.762087,2.4022886158240854e-05,0.654735,0.985823,0.985726,0.323744,0.489133,0.638751,0.396305,3929927.0,15408.0,41501.0,27244.0,0.42991017792779906
19,0.558242,0.777243,2.3397266007717887e-05,0.650051,0.986543,0.98646,0.313643,0.477516,0.712587,0.359066,3935379.0,9956.0,44061.0,24684.0,0.42991017792779906
20,0.555233,0.796626,2.2749999999999994e-05,0.638826,0.986071,0.985991,0.291661,0.451607,0.693204,0.33489,3935146.0,10189.0,45723.0,23022.0,0.42991017792779906
21,0.553413,0.723133,2.2082862246223422e-05,0.674963,0.98668,0.986578,0.363348,0.533024,0.666987,0.443872,3930100.0,15235.0,38231.0,30514.0,0.42991017792779906
22,0.551023,0.908855,2.13976813245991e-05,0.598793,0.985156,0.985096,0.212489,0.350501,0.699104,0.233879,3938415.0,6920.0,52667.0,16078.0,0.42991017792779906
23,0.547151,0.663543,2.0696335268406854e-05,0.711054,0.987404,0.987281,0.434828,0.606105,0.652493,0.565874,3924617.0,20718.0,29844.0,38901.0,0.4348278059085879
24,0.543509,0.764715,1.9980746418436735e-05,0.654939,0.98688,0.986798,0.32308,0.488376,0.735199,0.365627,3936282.0,9053.0,43610.0,25135.0,0.4348278059085879
25,0.544597,0.83422,1.925287615398655e-05,0.632538,0.985708,0.985628,0.279447,0.436824,0.671729,0.323645,3934462.0,10873.0,46496.0,22249.0,0.4348278059085879
26,0.541535,0.848936,1.8514719516857505e-05,0.628464,0.985242,0.98516,0.271767,0.427385,0.636898,0.321594,3932731.0,12604.0,46637.0,22108.0,0.4348278059085879
27,0.536933,0.670447,1.7768299743083344e-05,0.70979,0.988008,0.987898,0.431683,0.603043,0.696192,0.531879,3929379.0,15956.0,32181.0,36564.0,0.4348278059085879
28,0.53889,0.83022,1.701566271738097e-05,0.631624,0.985259,0.985175,0.278073,0.435145,0.632918,0.331544,3932116.0,13219.0,45953.0,22792.0,0.4348278059085879
29,0.535534,0.878945,1.625887136552268e-05,0.614167,0.985301,0.985232,0.243101,0.391121,0.673036,0.275656,3936129.0,9206.0,49795.0,18950.0,0.4348278059085879
30,0.533637,0.934793,1.55e-05,0.591487,0.985382,0.985329,0.197645,0.330057,0.767197,0.210255,3940949.0,4386.0,54291.0,14454.0,0.4348278059085879
31,0.533675,0.815804,1.4741128634477315e-05,0.63826,0.985478,0.98539,0.291129,0.450968,0.639604,0.348258,3931845.0,13490.0,44804.0,23941.0,0.4348278059085879
32,0.531765,0.812727,1.3984337282619027e-05,0.642137,0.985383,0.985292,0.298983,0.460334,0.625976,0.364012,3930383.0,14952.0,43721.0,25024.0,0.4348278059085879
33,0.52936,0.779451,1.3231700256916652e-05,0.648715,0.985523,0.985427,0.312004,0.475614,0.626343,0.383359,3929613.0,15722.0,42391.0,26354.0,0.4348278059085879
34,0.526676,0.83279,1.2485280483142488e-05,0.631524,0.985842,0.985764,0.277283,0.434177,0.687898,0.317187,3935442.0,9893.0,46940.0,21805.0,0.4348278059085879
35,0.525519,0.789095,1.1747123846013451e-05,0.645554,0.985536,0.985443,0.305665,0.468213,0.63211,0.371809,3930459.0,14876.0,43185.0,25560.0,0.4348278059085879
