epoch,train_loss,val_loss,lr,miou,oa,non_iou,landslide_iou,landslide_f1,precision,recall,tn,fp,fn,tp,best_landslide_iou
1,1.096322,0.926392,2.998012825394132e-05,0.600443,0.982534,0.982448,0.218438,0.358554,0.483171,0.285039,3924375.0,20960.0,49150.0,19595.0,0.21843821414636866
2,0.875701,0.878265,2.992056748283996e-05,0.653368,0.981631,0.981467,0.325269,0.490872,0.4672,0.51707,3904798.0,40537.0,33199.0,35546.0,0.325268571219414
3,0.810435,0.877739,2.9821480938629495e-05,0.632199,0.982321,0.982197,0.2822,0.440181,0.48086,0.405848,3915214.0,30121.0,40845.0,27900.0,0.325268571219414
4,0.768933,0.843091,2.968314021064018e-05,0.648482,0.983119,0.982987,0.313976,0.477902,0.508052,0.451131,3915305.0,30030.0,37732.0,31013.0,0.325268571219414
5,0.734245,0.884797,2.9505924481191486e-05,0.594033,0.984447,0.984385,0.203681,0.338431,0.623263,0.232279,3935683.0,9652.0,52777.0,15968.0,0.325268571219414
6,0.697508,0.762088,2.9290319486279726e-05,0.679204,0.985276,0.985146,0.373262,0.543614,0.57936,0.512023,3919779.0,25556.0,33546.0,35199.0,0.3732622135502275
7,0.667969,0.820513,2.9036916184209422e-05,0.626358,0.98508,0.984998,0.267717,0.422361,0.626753,0.318496,3932296.0,13039.0,46850.0,21895.0,0.3732622135502275
8,0.648006,0.766211,2.874640913581771e-05,0.671335,0.985503,0.985385,0.357286,0.526471,0.597451,0.470565,3923539.0,21796.0,36396.0,32349.0,0.3732622135502275
9,0.629697,0.780307,2.841959460073133e-05,0.645957,0.985592,0.985499,0.306415,0.469093,0.635708,0.371678,3930693.0,14642.0,43194.0,25551.0,0.3732622135502275
10,0.616959,0.715808,2.805736835487436e-05,0.684083,0.986078,0.985957,0.382208,0.55304,0.61426,0.502917,3923624.0,21711.0,34172.0,34573.0,0.3822079242946847
11,0.605717,0.752592,2.7660723235208646e-05,0.659204,0.985603,0.985498,0.33291,0.499524,0.617197,0.419536,3927447.0,17888.0,39904.0,28841.0,0.3822079242946847
12,0.594107,0.777429,2.7230746418436735e-05,0.640851,0.985085,0.98499,0.296711,0.457636,0.606546,0.36743,3928950.0,16385.0,43486.0,25259.0,0.3822079242946847
13,0.58704,0.794557,2.6768616441126075e-05,0.636315,0.98503,0.984939,0.287691,0.446832,0.60852,0.353029,3929722.0,15613.0,44476.0,24269.0,0.3822079242946847
14,0.581896,0.718021,2.6275599969422212e-05,0.680603,0.985936,0.985816,0.375389,0.545866,0.610611,0.493534,3923699.0,21636.0,34817.0,33928.0,0.3822079242946847
15,0.575399,0.732903,2.5753048327204935e-05,0.663397,0.984825,0.984704,0.342089,0.509786,0.57053,0.460732,3921493.0,23842.0,37072.0,31673.0,0.3822079242946847
16,0.568987,0.731086,2.520239379220344e-05,0.664814,0.984852,0.984731,0.344897,0.512898,0.570797,0.465663,3921264.0,24071.0,36733.0,32012.0,0.3822079242946847
17,0.565278,0.784095,2.4625145670222638e-05,0.6406,0.985962,0.985879,0.29532,0.45598,0.67793,0.343516,3934116.0,11219.0,45130.0,23615.0,0.3822079242946847
18,0.563445,0.830369,2.4022886158240854e-05,0.621917,0.985233,0.985157,0.258677,0.411029,0.648472,0.300866,3934123.0,11212.0,48062.0,20683.0,0.3822079242946847
19,0.557198,0.819996,2.3397266007717887e-05,0.623186,0.985338,0.985262,0.261111,0.414097,0.655985,0.302538,3934428.0,10907.0,47947.0,20798.0,0.3822079242946847
20,0.555136,0.697269,2.2749999999999994e-05,0.686712,0.986607,0.986493,0.386931,0.557967,0.641702,0.493563,3926390.0,18945.0,34815.0,33930.0,0.3869312350325009
21,0.550492,0.759854,2.2082862246223422e-05,0.652319,0.985434,0.985334,0.319305,0.48405,0.615259,0.398967,3928184.0,17151.0,41318.0,27427.0,0.3869312350325009
22,0.546442,0.80258,2.13976813245991e-05,0.635522,0.984868,0.984776,0.286268,0.445114,0.598296,0.354382,3928978.0,16357.0,44383.0,24362.0,0.3869312350325009
23,0.544431,0.761016,2.0696335268406854e-05,0.651982,0.98495,0.984843,0.319121,0.483839,0.586256,0.411885,3925352.0,19983.0,40430.0,28315.0,0.3869312350325009
24,0.542893,0.839176,1.9980746418436735e-05,0.620418,0.985117,0.985041,0.255796,0.407384,0.640407,0.298698,3933805.0,11530.0,48211.0,20534.0,0.3869312350325009
25,0.540547,0.837374,1.925287615398655e-05,0.623386,0.985227,0.985149,0.261623,0.414741,0.644916,0.305651,3933766.0,11569.0,47733.0,21012.0,0.3869312350325009
26,0.541051,0.799707,1.8514719516857505e-05,0.636097,0.985389,0.985302,0.286892,0.445868,0.636045,0.34324,3931833.0,13502.0,45149.0,23596.0,0.3869312350325009
27,0.538579,0.847691,1.7768299743083344e-05,0.620679,0.985,0.984922,0.256437,0.408197,0.629273,0.302073,3933101.0,12234.0,47979.0,20766.0,0.3869312350325009
28,0.537525,0.851165,1.701566271738097e-05,0.619051,0.985018,0.984942,0.253161,0.404035,0.633823,0.296531,3933558.0,11777.0,48360.0,20385.0,0.3869312350325009
29,0.534264,0.809226,1.625887136552268e-05,0.634178,0.984904,0.984813,0.283542,0.441812,0.602306,0.348854,3929500.0,15835.0,44763.0,23982.0,0.3869312350325009
30,0.531312,0.822824,1.55e-05,0.630518,0.985113,0.985028,0.276008,0.432612,0.622833,0.331399,3931539.0,13796.0,45963.0,22782.0,0.3869312350325009
31,0.530008,0.847541,1.4741128634477315e-05,0.623356,0.984667,0.984583,0.262129,0.415376,0.5985,0.318059,3930667.0,14668.0,46880.0,21865.0,0.3869312350325009
32,0.527935,0.848153,1.3984337282619027e-05,0.620862,0.985041,0.984963,0.256761,0.408608,0.632632,0.301753,3933289.0,12046.0,48001.0,20744.0,0.3869312350325009
33,0.528049,0.781607,1.3231700256916652e-05,0.644641,0.984671,0.984567,0.304715,0.467099,0.577192,0.392276,3925581.0,19754.0,41778.0,26967.0,0.3869312350325009
34,0.528939,0.820527,1.2485280483142488e-05,0.632929,0.985066,0.984978,0.28088,0.438573,0.61565,0.340607,3930717.0,14618.0,45330.0,23415.0,0.3869312350325009
35,0.525513,0.833607,1.1747123846013451e-05,0.626688,0.984939,0.984855,0.268521,0.423361,0.614816,0.322831,3931431.0,13904.0,46552.0,22193.0,0.3869312350325009
36,0.524592,0.825967,1.1019253581563263e-05,0.629679,0.984917,0.98483,0.274528,0.430792,0.608979,0.333275,3930624.0,14711.0,45834.0,22911.0,0.3869312350325009
37,0.52263,0.834619,1.0303664731593145e-05,0.626748,0.985017,0.984934,0.268561,0.423411,0.620919,0.321231,3931853.0,13482.0,46662.0,22083.0,0.3869312350325009
38,0.523986,0.832974,9.602318675400898e-06,0.626449,0.98505,0.984968,0.26793,0.422625,0.624108,0.319485,3932107.0,13228.0,46782.0,21963.0,0.3869312350325009
39,0.522916,0.834331,8.91713775377657e-06,0.627699,0.984701,0.984613,0.270785,0.42617,0.595773,0.331733,3929862.0,15473.0,45940.0,22805.0,0.3869312350325009
40,0.521,0.811364,8.25e-06,0.63529,0.985008,0.984918,0.285662,0.444381,0.60827,0.350062,3929837.0,15498.0,44680.0,24065.0,0.3869312350325009
41,0.520647,0.808542,7.602733992282109e-06,0.635359,0.984859,0.984766,0.285953,0.444733,0.597829,0.354062,3928961.0,16374.0,44405.0,24340.0,0.3869312350325009
42,0.520714,0.829643,6.977113841759139e-06,0.628517,0.985025,0.98494,0.272093,0.427788,0.618889,0.32686,3931498.0,13837.0,46275.0,22470.0,0.3869312350325009
43,0.52032,0.829212,6.374854329777358e-06,0.628403,0.984582,0.984493,0.272314,0.428061,0.586864,0.336897,3929031.0,16304.0,45585.0,23160.0,0.3869312350325009
44,0.517582,0.837807,5.7976062077965595e-06,0.625406,0.984908,0.984825,0.265987,0.420205,0.614207,0.31934,3931546.0,13789.0,46792.0,21953.0,0.3869312350325009
45,0.517038,0.81862,5.246951672795061e-06,0.632495,0.984872,0.984782,0.280208,0.437753,0.602124,0.34388,3929714.0,15621.0,45105.0,23640.0,0.3869312350325009
46,0.515526,0.825432,4.724400030577786e-06,0.629676,0.98502,0.984935,0.274418,0.430656,0.616856,0.330802,3931210.0,14125.0,46004.0,22741.0,0.3869312350325009
47,0.513773,0.834552,4.231383558873922e-06,0.627803,0.984948,0.984864,0.270742,0.426117,0.613942,0.326293,3931230.0,14105.0,46314.0,22431.0,0.3869312350325009
48,0.51548,0.828057,3.769253581563263e-06,0.630458,0.984725,0.984635,0.27628,0.432946,0.594328,0.34049,3929358.0,15977.0,45338.0,23407.0,0.3869312350325009
49,0.513739,0.835807,3.3392767647913527e-06,0.626688,0.985012,0.984929,0.268448,0.42327,0.620587,0.321158,3931837.0,13498.0,46667.0,22078.0,0.3869312350325009
50,0.513898,0.839777,2.9426316451256386e-06,0.62601,0.984928,0.984844,0.267175,0.421687,0.614891,0.320867,3931520.0,13815.0,46687.0,22058.0,0.3869312350325009
51,0.513196,0.830069,2.580405399268667e-06,0.629717,0.98487,0.984783,0.274651,0.430943,0.605493,0.334512,3930352.0,14983.0,45749.0,22996.0,0.3869312350325009
52,0.513896,0.836013,2.2535908641822855e-06,0.627526,0.984908,0.984823,0.270228,0.42548,0.611203,0.326322,3931065.0,14270.0,46312.0,22433.0,0.3869312350325009
53,0.512013,0.827357,1.963083815790574e-06,0.629785,0.984958,0.984872,0.274697,0.431,0.611918,0.33265,3930832.0,14503.0,45877.0,22868.0,0.3869312350325009
54,0.512681,0.830561,1.7096805137202735e-06,0.628571,0.984872,0.984785,0.272356,0.428113,0.607072,0.330642,3930623.0,14712.0,46015.0,22730.0,0.3869312350325009
55,0.513638,0.839253,1.4940755188085092e-06,0.626455,0.984886,0.984802,0.268108,0.422847,0.611036,0.323282,3931188.0,14147.0,46521.0,22224.0,0.3869312350325009
56,0.512956,0.829691,1.3168597893598172e-06,0.629051,0.984866,0.98478,0.273323,0.429307,0.606058,0.332373,3930483.0,14852.0,45896.0,22849.0,0.3869312350325009
57,0.512155,0.829431,1.1785190613705039e-06,0.629015,0.984876,0.98479,0.27324,0.429204,0.60686,0.33201,3930549.0,14786.0,45921.0,22824.0,0.3869312350325009
58,0.511632,0.833652,1.0794325171600355e-06,0.62749,0.984877,0.984792,0.270188,0.42543,0.608919,0.326918,3930901.0,14434.0,46271.0,22474.0,0.3869312350325009
59,0.513319,0.834162,1.0198717460586794e-06,0.62826,0.98484,0.984754,0.271766,0.427383,0.60517,0.330337,3930519.0,14816.0,46036.0,22709.0,0.3869312350325009
60,0.513328,0.841936,1e-06,0.624938,0.984839,0.984755,0.265121,0.419124,0.609449,0.319383,3931265.0,14070.0,46789.0,21956.0,0.3869312350325009
