epoch,train_loss,val_loss,lr,miou,oa,non_iou,landslide_iou,landslide_f1,precision,recall,tn,fp,fn,tp,best_landslide_iou
1,1.537165,1.151461,2.998012825394132e-05,0.578707,0.956723,0.956246,0.201168,0.334954,0.227296,0.636366,3796615.0,148720.0,24998.0,43747.0,0.20116800404662818
2,1.111559,1.093189,2.992056748283996e-05,0.625936,0.97658,0.976369,0.275503,0.431991,0.369449,0.520023,3884321.0,61014.0,32996.0,35749.0,0.2755030479581378
3,0.998969,0.985011,2.9821480938629495e-05,0.645501,0.977917,0.977692,0.313311,0.477131,0.40129,0.588319,3884994.0,60341.0,28301.0,40444.0,0.31331050617417844
4,0.912222,0.918714,2.968314021064018e-05,0.663953,0.979514,0.979287,0.348619,0.517001,0.433563,0.640207,3887836.0,57499.0,24734.0,44011.0,0.3486185482082317
5,0.832495,0.88239,2.9505924481191486e-05,0.67045,0.986408,0.986306,0.354594,0.523543,0.65497,0.436046,3929544.0,15791.0,38769.0,29976.0,0.35459449228730955
6,0.783475,0.853005,2.9290319486279726e-05,0.688968,0.985238,0.985096,0.39284,0.564084,0.570633,0.557684,3916488.0,28847.0,30407.0,38338.0,0.3928395770145094
7,0.739247,0.797609,2.9036916184209422e-05,0.692562,0.985612,0.985472,0.399651,0.571072,0.583367,0.559284,3917876.0,27459.0,30297.0,38448.0,0.3996507421728826
8,0.709129,0.763226,2.874640913581771e-05,0.690841,0.98447,0.98431,0.397372,0.568742,0.542268,0.597934,3910638.0,34697.0,27640.0,41105.0,0.3996507421728826
9,0.679264,0.752717,2.841959460073133e-05,0.700117,0.987272,0.987157,0.413078,0.58465,0.662674,0.523063,3927031.0,18304.0,32787.0,35958.0,0.4130776918746913
10,0.651067,0.756707,2.805736835487436e-05,0.701926,0.98775,0.987642,0.416211,0.587781,0.693635,0.509957,3929851.0,15484.0,33688.0,35057.0,0.41621056880646806
11,0.638503,0.781754,2.7660723235208646e-05,0.653443,0.986727,0.986643,0.320243,0.485128,0.722601,0.365132,3935699.0,9636.0,43644.0,25101.0,0.41621056880646806
12,0.618163,0.783239,2.7230746418436735e-05,0.653792,0.986745,0.986661,0.320924,0.485908,0.723555,0.365772,3935728.0,9607.0,43600.0,25145.0,0.41621056880646806
