epoch,train_loss,val_loss,lr,miou,oa,non_iou,landslide_iou,landslide_f1,precision,recall,tn,fp,fn,tp,best_landslide_iou
1,0.564073,0.175845,2.998012825394132e-05,0.491437,0.982874,0.982874,0.0,0.0,0.0,0.0,3945335.0,0.0,68745.0,0.0,0.0
2,0.275261,0.198655,2.992056748283996e-05,0.504831,0.983186,0.983178,0.026483,0.051599,0.758991,0.026707,3944752.0,583.0,66909.0,1836.0,0.026482806369720748
3,0.207106,0.208187,2.9821480938629495e-05,0.532415,0.983716,0.983692,0.081138,0.150098,0.70692,0.083962,3942942.0,2393.0,62973.0,5772.0,0.08113806966740701
4,0.16466,0.153145,2.968314021064018e-05,0.518588,0.983639,0.983624,0.053552,0.101661,0.852098,0.054055,3944690.0,645.0,65029.0,3716.0,0.08113806966740701
5,0.140303,0.118931,2.9505924481191486e-05,0.537614,0.984226,0.984201,0.091027,0.166864,0.873777,0.092239,3944419.0,916.0,62404.0,6341.0,0.09102654282884254
6,0.12273,0.112391,2.9290319486279726e-05,0.533641,0.984178,0.984155,0.083126,0.153493,0.916733,0.083759,3944812.0,523.0,62987.0,5758.0,0.09102654282884254
7,0.113799,0.104649,2.9036916184209422e-05,0.550381,0.984694,0.984663,0.116098,0.208043,0.913413,0.11739,3944570.0,765.0,60675.0,8070.0,0.11609840310746655
8,0.10807,0.103261,2.874640913581771e-05,0.563835,0.985075,0.985037,0.142632,0.249656,0.897847,0.144985,3944201.0,1134.0,58778.0,9967.0,0.14263226434264945
9,0.103789,0.09871,2.841959460073133e-05,0.555555,0.984895,0.984862,0.126248,0.224193,0.930932,0.127442,3944685.0,650.0,59984.0,8761.0,0.14263226434264945
10,0.099634,0.099993,2.805736835487436e-05,0.525804,0.983968,0.98395,0.067659,0.126742,0.943816,0.067932,3945057.0,278.0,64075.0,4670.0,0.14263226434264945
11,0.09767,0.099761,2.7660723235208646e-05,0.529808,0.9841,0.984079,0.075537,0.140464,0.946633,0.07586,3945041.0,294.0,63530.0,5215.0,0.14263226434264945
12,0.094859,0.095204,2.7230746418436735e-05,0.563962,0.985125,0.985088,0.142837,0.249969,0.915785,0.144738,3944420.0,915.0,58795.0,9950.0,0.1428366350846971
13,0.093467,0.09001,2.6768616441126075e-05,0.616819,0.986693,0.986634,0.247004,0.396156,0.888765,0.254884,3943142.0,2193.0,51223.0,17522.0,0.24700442640051876
14,0.091813,0.089707,2.6275599969422212e-05,0.618798,0.986818,0.98676,0.250835,0.401069,0.903924,0.257706,3943452.0,1883.0,51029.0,17716.0,0.25083536274565327
15,0.090731,0.090168,2.5753048327204935e-05,0.595394,0.986091,0.986041,0.204746,0.339899,0.907851,0.209092,3943876.0,1459.0,54371.0,14374.0,0.25083536274565327
16,0.089878,0.094923,2.520239379220344e-05,0.560842,0.985023,0.984988,0.136697,0.240515,0.914409,0.138468,3944444.0,891.0,59226.0,9519.0,0.25083536274565327
17,0.089524,0.087352,2.4625145670222638e-05,0.670377,0.987968,0.987889,0.352865,0.521656,0.817299,0.383082,3939448.0,5887.0,42410.0,26335.0,0.352864722907064
18,0.088757,0.090359,2.4022886158240854e-05,0.612769,0.986454,0.986396,0.239141,0.385979,0.862739,0.2486,3942616.0,2719.0,51655.0,17090.0,0.352864722907064
19,0.088276,0.095839,2.3397266007717887e-05,0.55132,0.984775,0.984744,0.117895,0.210923,0.938311,0.118816,3944798.0,537.0,60577.0,8168.0,0.352864722907064
20,0.087666,0.090042,2.2749999999999994e-05,0.615883,0.986698,0.98664,0.245126,0.393737,0.897046,0.252222,3943345.0,1990.0,51406.0,17339.0,0.352864722907064
21,0.087218,0.09095,2.2082862246223422e-05,0.614096,0.986542,0.986484,0.241707,0.389315,0.873485,0.250476,3942841.0,2494.0,51526.0,17219.0,0.352864722907064
22,0.086787,0.091154,2.13976813245991e-05,0.618333,0.986617,0.986557,0.250108,0.400138,0.861022,0.26063,3942443.0,2892.0,50828.0,17917.0,0.352864722907064
23,0.086596,0.090846,2.0696335268406854e-05,0.626357,0.986885,0.986823,0.26589,0.420084,0.865423,0.277358,3942370.0,2965.0,49678.0,19067.0,0.352864722907064
24,0.086467,0.089651,1.9980746418436735e-05,0.625841,0.986997,0.986936,0.264745,0.418654,0.893336,0.273387,3943091.0,2244.0,49951.0,18794.0,0.352864722907064
25,0.086068,0.088915,1.925287615398655e-05,0.638658,0.987259,0.987192,0.290124,0.449762,0.863648,0.304051,3942035.0,3300.0,47843.0,20902.0,0.352864722907064
26,0.085402,0.091249,1.8514719516857505e-05,0.614792,0.986531,0.986472,0.243112,0.391135,0.866005,0.252615,3942648.0,2687.0,51379.0,17366.0,0.352864722907064
27,0.085899,0.088696,1.7768299743083344e-05,0.662033,0.987782,0.987706,0.33636,0.503397,0.828235,0.361583,3940180.0,5155.0,43888.0,24857.0,0.352864722907064
28,0.08597,0.09045,1.701566271738097e-05,0.636724,0.98712,0.987053,0.286395,0.445267,0.848526,0.301826,3941631.0,3704.0,47996.0,20749.0,0.352864722907064
29,0.085151,0.088574,1.625887136552268e-05,0.672514,0.987795,0.987711,0.357317,0.526505,0.784398,0.396232,3937848.0,7487.0,41506.0,27239.0,0.35731713716024766
30,0.085005,0.092069,1.55e-05,0.615329,0.986491,0.986432,0.244226,0.392575,0.853656,0.254899,3942331.0,3004.0,51222.0,17523.0,0.35731713716024766
31,0.084753,0.091491,1.4741128634477315e-05,0.612423,0.986482,0.986424,0.238421,0.385041,0.871403,0.247116,3942828.0,2507.0,51757.0,16988.0,0.35731713716024766
32,0.084515,0.090052,1.3984337282619027e-05,0.645544,0.987335,0.987264,0.303823,0.46605,0.838258,0.322743,3941054.0,4281.0,46558.0,22187.0,0.35731713716024766
33,0.084678,0.088861,1.3231700256916652e-05,0.661934,0.987635,0.987557,0.336311,0.503342,0.806283,0.365874,3939292.0,6043.0,43593.0,25152.0,0.35731713716024766
34,0.084219,0.090154,1.2485280483142488e-05,0.649297,0.98732,0.987247,0.311347,0.474851,0.816665,0.334744,3940169.0,5166.0,45733.0,23012.0,0.35731713716024766
35,0.083962,0.094301,1.1747123846013451e-05,0.602121,0.985994,0.985939,0.218303,0.358372,0.831665,0.228395,3942157.0,3178.0,53044.0,15701.0,0.35731713716024766
36,0.084168,0.089355,1.1019253581563263e-05,0.652851,0.98732,0.987244,0.318457,0.483075,0.800236,0.34596,3939398.0,5937.0,44962.0,23783.0,0.35731713716024766
37,0.083871,0.09054,1.0303664731593145e-05,0.640553,0.98712,0.98705,0.294055,0.454471,0.827385,0.313274,3940842.0,4493.0,47209.0,21536.0,0.35731713716024766
38,0.083734,0.08894,9.602318675400898e-06,0.65528,0.987573,0.987499,0.32306,0.488353,0.828115,0.34628,3940394.0,4941.0,44940.0,23805.0,0.35731713716024766
39,0.083938,0.089537,8.91713775377657e-06,0.65311,0.987388,0.987313,0.318907,0.483593,0.809265,0.344825,3939748.0,5587.0,45040.0,23705.0,0.35731713716024766
40,0.08395,0.090224,8.25e-06,0.639818,0.987156,0.987087,0.292548,0.452668,0.837655,0.310132,3941203.0,4132.0,47425.0,21320.0,0.35731713716024766
41,0.083594,0.090919,7.602733992282109e-06,0.631486,0.986928,0.986863,0.276108,0.432735,0.842517,0.291134,3941594.0,3741.0,48731.0,20014.0,0.35731713716024766
42,0.083329,0.089659,6.977113841759139e-06,0.650217,0.987371,0.987298,0.313135,0.476928,0.820464,0.33617,3940278.0,5057.0,45635.0,23110.0,0.35731713716024766
43,0.083469,0.090238,6.374854329777358e-06,0.648786,0.987288,0.987215,0.310358,0.473699,0.814009,0.334046,3940088.0,5247.0,45781.0,22964.0,0.35731713716024766
44,0.083309,0.090911,5.7976062077965595e-06,0.63823,0.987103,0.987035,0.289426,0.448922,0.836786,0.306742,3941222.0,4113.0,47658.0,21087.0,0.35731713716024766
45,0.083063,0.090337,5.246951672795061e-06,0.648366,0.987203,0.987129,0.309602,0.472818,0.802837,0.335079,3939678.0,5657.0,45710.0,23035.0,0.35731713716024766
46,0.082977,0.089873,4.724400030577786e-06,0.64998,0.987329,0.987256,0.312704,0.476427,0.814853,0.336621,3940077.0,5258.0,45604.0,23141.0,0.35731713716024766
47,0.08313,0.087874,4.231383558873922e-06,0.678792,0.988063,0.987979,0.369606,0.539726,0.794575,0.408655,3938072.0,7263.0,40652.0,28093.0,0.3696058309651616
48,0.083146,0.091095,3.769253581563263e-06,0.63479,0.986881,0.986813,0.282767,0.44087,0.816173,0.302,3940659.0,4676.0,47984.0,20761.0,0.3696058309651616
49,0.083053,0.090391,3.3392767647913527e-06,0.643566,0.987123,0.987052,0.300081,0.461635,0.81277,0.322365,3940230.0,5105.0,46584.0,22161.0,0.3696058309651616
50,0.082994,0.089269,2.9426316451256386e-06,0.658761,0.987592,0.987516,0.330006,0.496248,0.81434,0.356855,3939742.0,5593.0,44213.0,24532.0,0.3696058309651616
51,0.08284,0.090594,2.580405399268667e-06,0.645694,0.987214,0.987142,0.304246,0.466547,0.817179,0.326467,3940314.0,5021.0,46302.0,22443.0,0.3696058309651616
52,0.082632,0.089722,2.2535908641822855e-06,0.653771,0.98738,0.987304,0.320237,0.48512,0.80508,0.347153,3939557.0,5778.0,44880.0,23865.0,0.3696058309651616
53,0.082878,0.089676,1.963083815790574e-06,0.656084,0.98749,0.987414,0.324754,0.490286,0.811171,0.351313,3939713.0,5622.0,44594.0,24151.0,0.3696058309651616
54,0.082983,0.089405,1.7096805137202735e-06,0.661758,0.987598,0.98752,0.335997,0.50299,0.801821,0.366427,3939109.0,6226.0,43555.0,25190.0,0.3696058309651616
55,0.082991,0.090564,1.4940755188085092e-06,0.643516,0.987212,0.987142,0.299891,0.461409,0.827768,0.319849,3940760.0,4575.0,46757.0,21988.0,0.3696058309651616
56,0.082736,0.08939,1.3168597893598172e-06,0.660396,0.987616,0.987538,0.333253,0.499909,0.810378,0.361437,3939521.0,5814.0,43898.0,24847.0,0.3696058309651616
57,0.082739,0.089888,1.1785190613705039e-06,0.655231,0.987467,0.987392,0.323071,0.488365,0.811615,0.349262,3939762.0,5573.0,44735.0,24010.0,0.3696058309651616
58,0.082935,0.089409,1.0794325171600355e-06,0.661232,0.987635,0.987558,0.334906,0.501767,0.80949,0.363561,3939453.0,5882.0,43752.0,24993.0,0.3696058309651616
59,0.082716,0.089233,1.0198717460586794e-06,0.663726,0.987681,0.987603,0.339848,0.507294,0.805187,0.370296,3939176.0,6159.0,43289.0,25456.0,0.3696058309651616
60,0.082728,0.089845,1e-06,0.652397,0.987401,0.987326,0.317467,0.481936,0.814599,0.342192,3939981.0,5354.0,45221.0,23524.0,0.3696058309651616
