epoch,train_loss,val_loss,lr,miou,oa,non_iou,landslide_iou,landslide_f1,precision,recall,tn,fp,fn,tp,best_landslide_iou
1,1.165055,0.693056,2.998012825394132e-05,0.513283,0.982943,0.98293,0.043637,0.083624,0.523283,0.045443,3942489.0,2846.0,65621.0,3124.0,0.04363676998505399
2,0.778306,0.689435,2.992056748283996e-05,0.602012,0.976137,0.975968,0.228055,0.371409,0.338343,0.411637,3889996.0,55339.0,40447.0,28298.0,0.22805518842074723
3,0.663945,0.646544,2.9821480938629495e-05,0.583977,0.985232,0.985183,0.182771,0.309055,0.777504,0.192858,3941541.0,3794.0,55487.0,13258.0,0.22805518842074723
4,0.592088,0.601489,2.968314021064018e-05,0.66109,0.981988,0.981819,0.340361,0.507865,0.477242,0.542687,3904470.0,40865.0,31438.0,37307.0,0.34036128090502693
5,0.526733,0.522663,2.9505924481191486e-05,0.662028,0.986916,0.986828,0.337229,0.504369,0.717955,0.388726,3934837.0,10498.0,42022.0,26723.0,0.34036128090502693
6,0.486093,0.516497,2.9290319486279726e-05,0.631307,0.986633,0.986564,0.27605,0.432663,0.792041,0.297622,3939963.0,5372.0,48285.0,20460.0,0.34036128090502693
7,0.447616,0.490293,2.9036916184209422e-05,0.653946,0.987162,0.987084,0.320808,0.485775,0.773533,0.354062,3938209.0,7126.0,44405.0,24340.0,0.34036128090502693
8,0.414791,0.433441,2.874640913581771e-05,0.709005,0.988736,0.98864,0.42937,0.600782,0.764299,0.494901,3934843.0,10492.0,34723.0,34022.0,0.42937011749561443
9,0.388995,0.422296,2.841959460073133e-05,0.704655,0.988265,0.988164,0.421146,0.592685,0.730668,0.498538,3932702.0,12633.0,34473.0,34272.0,0.42937011749561443
10,0.368886,0.465841,2.805736835487436e-05,0.622893,0.986629,0.986566,0.25922,0.411715,0.835157,0.273198,3941628.0,3707.0,49964.0,18781.0,0.42937011749561443
11,0.352009,0.388398,2.7660723235208646e-05,0.720139,0.987784,0.98766,0.452618,0.623176,0.660552,0.589803,3924499.0,20836.0,28199.0,40546.0,0.4526183007557406
12,0.337979,0.374848,2.7230746418436735e-05,0.708862,0.98846,0.988359,0.429365,0.600777,0.737079,0.507019,3932902.0,12433.0,33890.0,34855.0,0.4526183007557406
13,0.326938,0.408322,2.6768616441126075e-05,0.670408,0.987753,0.987671,0.353146,0.521962,0.787269,0.390399,3938083.0,7252.0,41907.0,26838.0,0.4526183007557406
14,0.318158,0.370469,2.6275599969422212e-05,0.696289,0.988414,0.988322,0.404255,0.575758,0.771972,0.459073,3936013.0,9322.0,37186.0,31559.0,0.4526183007557406
15,0.309328,0.3556,2.5753048327204935e-05,0.704047,0.988781,0.988689,0.419405,0.590959,0.786671,0.473227,3936513.0,8822.0,36213.0,32532.0,0.4526183007557406
16,0.302074,0.336692,2.520239379220344e-05,0.731194,0.988327,0.988202,0.474185,0.643318,0.674741,0.614692,3924965.0,20370.0,26488.0,42257.0,0.47418504179992144
17,0.301152,0.394381,2.4625145670222638e-05,0.660825,0.987744,0.987668,0.333983,0.500731,0.828025,0.358877,3940211.0,5124.0,44074.0,24671.0,0.47418504179992144
18,0.292885,0.369211,2.4022886158240854e-05,0.688554,0.988081,0.98799,0.389119,0.560238,0.760962,0.443305,3935762.0,9573.0,38270.0,30475.0,0.47418504179992144
19,0.291993,0.381772,2.3397266007717887e-05,0.670144,0.987832,0.987751,0.352536,0.521297,0.798913,0.386864,3938641.0,6694.0,42150.0,26595.0,0.47418504179992144
20,0.288079,0.401599,2.2749999999999994e-05,0.652763,0.987593,0.98752,0.318006,0.482556,0.844319,0.337814,3941053.0,4282.0,45522.0,23223.0,0.47418504179992144
21,0.284858,0.388045,2.2082862246223422e-05,0.661967,0.98762,0.987542,0.336391,0.503432,0.804073,0.366427,3939197.0,6138.0,43555.0,25190.0,0.47418504179992144
22,0.281642,0.334083,2.13976813245991e-05,0.715478,0.98885,0.98875,0.442205,0.613235,0.755295,0.516154,3933839.0,11496.0,33262.0,35483.0,0.47418504179992144
