epoch,train_loss,val_loss,lr,miou,oa,non_iou,landslide_iou,landslide_f1,precision,recall,tn,fp,fn,tp,best_landslide_iou
1,1.38262,1.056044,2.998012825394132e-05,0.589161,0.9699,0.969659,0.208662,0.345278,0.27513,0.463437,3861398.0,83937.0,36886.0,31859.0,0.2086624487496889
2,1.009997,0.998029,2.992056748283996e-05,0.595608,0.982615,0.982535,0.208682,0.345304,0.486273,0.267699,3925893.0,19442.0,50342.0,18403.0,0.20868155170263192
3,0.897883,0.917245,2.9821480938629495e-05,0.645902,0.981897,0.981749,0.310055,0.473347,0.471689,0.475016,3908760.0,36575.0,36090.0,32655.0,0.3100550702620585
4,0.846624,0.87478,2.968314021064018e-05,0.671022,0.980331,0.98011,0.361935,0.531501,0.448854,0.651451,3890345.0,54990.0,23961.0,44784.0,0.3619347799733301
5,0.792664,0.855204,2.9505924481191486e-05,0.67927,0.982815,0.982635,0.375906,0.546412,0.498572,0.604408,3903547.0,41788.0,27195.0,41550.0,0.37590583807550687
6,0.748828,0.805645,2.9290319486279726e-05,0.701858,0.985508,0.985356,0.41836,0.589921,0.572318,0.608641,3914068.0,31267.0,26904.0,41841.0,0.41835979682438107
7,0.717488,0.814083,2.9036916184209422e-05,0.680429,0.982077,0.981879,0.378979,0.549652,0.482424,0.63865,3898232.0,47103.0,24841.0,43904.0,0.41835979682438107
8,0.674989,0.767764,2.874640913581771e-05,0.683102,0.985031,0.984892,0.381312,0.552101,0.566185,0.538701,3916960.0,28375.0,31712.0,37033.0,0.41835979682438107
9,0.658653,0.740952,2.841959460073133e-05,0.68447,0.981982,0.981775,0.387165,0.55821,0.481151,0.664659,3896063.0,49272.0,23053.0,45692.0,0.41835979682438107
10,0.629424,0.774601,2.805736835487436e-05,0.662495,0.986285,0.986188,0.338802,0.506127,0.660207,0.410357,3930816.0,14519.0,40535.0,28210.0,0.41835979682438107
11,0.612117,0.682128,2.7660723235208646e-05,0.724229,0.98741,0.987273,0.461186,0.631249,0.633286,0.629224,3920287.0,25048.0,25489.0,43256.0,0.46118580277845894
12,0.603339,0.766256,2.7230746418436735e-05,0.666217,0.986792,0.986699,0.345735,0.513824,0.695073,0.40755,3933044.0,12291.0,40728.0,28017.0,0.46118580277845894
13,0.595573,0.659985,2.6768616441126075e-05,0.726371,0.98782,0.98769,0.465053,0.634862,0.652352,0.618285,3922684.0,22651.0,26241.0,42504.0,0.46505317519366274
14,0.585155,0.809859,2.6275599969422212e-05,0.632468,0.986228,0.986155,0.278781,0.43601,0.730006,0.31083,3937432.0,7903.0,47377.0,21368.0,0.46505317519366274
15,0.573632,0.777942,2.5753048327204935e-05,0.650067,0.986944,0.986866,0.313267,0.477081,0.759507,0.347763,3937765.0,7570.0,44838.0,23907.0,0.46505317519366274
16,0.57009,0.657142,2.520239379220344e-05,0.721866,0.987903,0.987779,0.455953,0.626329,0.664886,0.591999,3924823.0,20512.0,28048.0,40697.0,0.46505317519366274
17,0.565247,0.66434,2.4625145670222638e-05,0.708329,0.985069,0.984898,0.43176,0.603118,0.553551,0.662434,3908607.0,36728.0,23206.0,45539.0,0.46505317519366274
18,0.55734,0.64963,2.4022886158240854e-05,0.725498,0.988622,0.98851,0.462486,0.632466,0.707786,0.571634,3929111.0,16224.0,29448.0,39297.0,0.46505317519366274
19,0.55474,0.674426,2.3397266007717887e-05,0.70598,0.98695,0.986823,0.425137,0.596626,0.633831,0.563546,3922954.0,22381.0,30004.0,38741.0,0.46505317519366274
20,0.549046,0.779378,2.2749999999999994e-05,0.649838,0.98605,0.985961,0.313716,0.477601,0.665808,0.372347,3932487.0,12848.0,43148.0,25597.0,0.46505317519366274
21,0.55238,0.694468,2.2082862246223422e-05,0.695245,0.987591,0.987486,0.403003,0.574487,0.695939,0.489126,3930644.0,14691.0,35120.0,33625.0,0.46505317519366274
