Variant,Run,Test_mIoU,Landslide_IoU,Landslide_F1,Precision,Recall,Input,Channels,Extra_Channel_Init,Dice,Class_Weight,TTA,Seed
RGB-only,input_rgb,0.691452,0.398296,0.569688,0.610417,0.534054,First 3 channels,3.0,,,,,
12 MS only,input_ms12,0.702396,0.42032,0.591867,0.594164,0.589587,12 Sentinel-2 bands,12.0,,,,,
RGB + topo,input_rgb_topo,0.702643,0.42153,0.593065,0.568843,0.619442,First 3 channels + slope + DEM,5.0,,,,,
Full 14-channel,input_full14,0.704326,0.42309,0.594608,0.640555,0.554811,12 MS + slope + DEM,14.0,,,,,
Random extra-channel init,patch_random_extra,0.716133,0.44695,0.617782,0.614585,0.621013,,,Random,,,,
RGB-mean extra-channel init,input_full14,0.704326,0.42309,0.594608,0.640555,0.554811,,,Mean RGB kernel,,,,
CE only,loss_ce,0.683679,0.381175,0.551957,0.721774,0.446829,,,,No,No,,
CE + Dice,loss_ce_dice,0.708155,0.432087,0.603436,0.580675,0.628055,,,,Yes,No,,
CE + Dice + class weight,input_full14,0.704326,0.42309,0.594608,0.640555,0.554811,,,,Yes,Yes,,
Without TTA,tta_off,0.72998,0.473888,0.643045,0.630511,0.656088,,,,,,No,
With TTA,tta_on,0.732779,0.479287,0.647997,0.635664,0.660818,,,,,,Yes,
Seed 2026,seed_2026,0.704062,0.424766,0.596261,0.55602,0.64278,,,,,,,2026.0
Seed 2027,seed_2027,0.708386,0.432249,0.603595,0.591063,0.61667,,,,,,,2027.0
Seed 2028,seed_2028,0.709858,0.435097,0.606366,0.593313,0.620007,,,,,,,2028.0
